UDI,Type,Air_temperature[K],Process_temperature[K],Rotational_speed[rpm],Torque[Nm],Tool_wear[min],Machine_failure,Power[W],strain,Temperature_difference
1,L,297.9,307.1,1525.0,20.3,238,0,3241.86,4831.400000000001,9.200000000000045
2,H,298.6,307.8,1384.0,32.3,249,0,4681.31,8042.699999999999,9.199999999999989
3,M,305.0,314.1,1958.0,36.3,67,0,7443.0,2432.1,9.100000000000023
4,L,300.3,309.7,1046.5,46.8,248,1,5128.78,11606.4,9.399999999999977
5,L,300.7,311.6,1863.0,38.6,133,0,7530.59,5133.8,10.900000000000034
6,L,297.6,309.4,1705.0,50.5,121,0,9016.63,6110.5,11.799999999999955
7,L,296.3,305.0,1404.0,45.9,210,0,6748.52,9639.0,8.699999999999989
8,M,298.4,309.6,1873.0,45.0,59,0,8826.3,2655.0,11.200000000000045
9,M,302.9,312.4,1292.0,49.7,218,0,6724.31,10834.6,9.5
10,M,300.7,311.0,1718.0,26.1,243,0,4695.61,6342.3,10.300000000000011
11,L,301.2,309.5,1165.0,34.6,92,1,4221.15,3183.2000000000003,8.300000000000011
12,H,301.5,312.0,1332.0,63.8,117,0,8899.25,7464.599999999999,10.5
13,M,298.8,306.8,1332.0,20.9,139,1,2915.27,2905.1,8.0
14,L,302.8,313.1,1403.0,36.9,165,0,5421.42,6088.5,10.300000000000011
15,L,298.7,309.0,1540.0,44.6,140,0,7192.57,6244.0,10.300000000000011
16,L,302.8,313.0,1390.0,21.2,27,0,3085.88,572.4,10.199999999999989
17,L,300.9,310.1,1173.0,32.4,4,0,3979.9,129.6,9.200000000000045
18,L,296.4,307.0,1620.0,59.8,173,0,10144.83,10345.4,10.600000000000023
19,L,298.5,308.9,1546.0,41.6,45,0,6734.9,1872.0,10.399999999999977
20,L,296.4,306.2,1611.0,34.2,80,0,5769.66,2736.0,9.800000000000011
21,M,302.3,313.0,1568.0,42.0,154,0,6896.42,6468.0,10.699999999999989
22,L,300.0,309.9,1708.0,34.2,153,0,6117.06,5232.6,9.899999999999977
23,L,295.5,306.1,1524.0,57.0,245,1,9096.8,13965.0,10.600000000000023
24,L,300.8,310.6,1719.0,30.0,61,0,5400.4,1830.0,9.800000000000011
25,L,298.9,309.1,1399.0,34.7,195,0,5083.65,6766.500000000001,10.200000000000045
26,M,297.0,307.6,1409.0,25.0,71,0,3688.75,1775.0,10.600000000000023
27,L,303.4,313.0,1784.0,37.0,89,0,6912.34,3293.0,9.600000000000023
28,L,300.2,309.0,1780.0,38.2,96,0,7120.52,3667.2000000000003,8.800000000000011
29,L,299.4,309.7,1640.0,51.8,127,0,8896.15,6578.599999999999,10.300000000000011
30,L,299.2,310.4,1378.0,29.8,139,0,4300.25,4142.2,11.199999999999989
31,M,297.0,307.3,1364.0,44.7,204,0,6384.85,9118.800000000001,10.300000000000011
32,L,297.4,307.7,1775.0,40.8,212,0,7583.8,8649.599999999999,10.300000000000011
33,L,302.6,312.5,1765.0,21.1,179,0,3899.92,3776.9,9.899999999999977
34,H,299.1,309.8,1526.0,32.7,164,0,5225.54,5362.8,10.699999999999989
35,H,300.0,309.9,1957.0,32.3,152,0,6619.45,4909.599999999999,9.899999999999977
36,M,295.9,305.5,1620.0,56.7,38,0,9618.93,2154.6,9.600000000000023
37,L,297.4,308.5,1339.0,45.3,194,0,6351.95,8788.199999999999,11.100000000000023
38,L,301.2,310.7,1488.0,41.3,146,0,6435.49,6029.799999999999,9.5
39,M,300.8,311.6,1538.0,13.34999999999999,70,0,2150.14,934.4999999999993,10.800000000000011
40,L,303.5,314.6,1553.0,20.9,208,0,3398.96,4347.2,11.100000000000023
41,L,302.7,313.3,1761.0,47.1,76,0,8685.78,3579.6,10.600000000000023
42,L,299.5,308.3,1366.0,47.7,23,0,6823.35,1097.1000000000001,8.800000000000011
43,L,300.9,311.0,1299.0,32.5,178,0,4421.01,5785.0,10.100000000000023
44,H,299.4,309.2,1645.0,40.2,44,0,6925.01,1768.8000000000002,9.800000000000011
45,L,304.1,313.6,1447.0,39.5,7,0,5985.41,276.5,9.5
46,M,302.3,312.4,1971.0,41.6,199,0,8586.35,8278.4,10.099999999999966
47,L,300.3,311.1,1706.0,36.2,172,0,6467.2,6226.400000000001,10.800000000000011
48,L,300.4,309.9,1443.0,48.0,129,0,7253.31,6192.0,9.5
49,L,302.9,312.7,1755.0,50.9,157,0,9354.56,7991.3,9.800000000000011
50,L,301.2,310.9,1668.0,30.3,66,0,5292.58,1999.8,9.699999999999989
51,H,303.1,314.3,1651.0,28.0,172,0,4840.98,4816.0,11.199999999999989
